sweep,kind,shell,n_cells,n_anchors,mean_E,coll,mean_q,shell_n
230,closed,2,745.0,100,1.73796,0.08322,5.53669,7.45
230,closed,3,1150.0,100,1.67911,0.06174,5.63739,11.5
230,virtual,1,200.0,50,1.7128,0.07,5.23333,4.0
230,virtual,2,363.0,50,1.75512,0.08815,5.59458,7.26
230,virtual,3,515.0,50,1.70604,0.06796,5.80356,10.3
232,closed,1,400.0,100,1.68945,0.07,5.31625,4.0
232,closed,2,751.0,100,1.7019,0.07057,5.53573,7.51
232,closed,3,1136.0,100,1.7248,0.07835,5.65346,11.36
232,virtual,1,200.0,50,1.85391,0.12,5.265,4.0
232,virtual,2,352.0,50,1.75327,0.08523,5.48106,7.04
232,virtual,3,532.0,50,1.70223,0.06767,5.5683,10.64
234,closed,1,400.0,100,1.70562,0.07,5.31625,4.0
234,closed,2,754.0,100,1.74995,0.08355,5.52851,7.54
234,closed,3,1135.0,100,1.72475,0.07665,5.65962,11.35
234,virtual,1,200.0,50,1.61729,0.045,5.06,4.0
234,virtual,2,317.0,50,1.68331,0.06309,5.62671,6.34
234,virtual,3,471.0,50,1.63516,0.04671,5.74027,9.42
236,closed,1,400.0,100,1.70362,0.0725,5.32,4.0
236,closed,2,740.0,100,1.67328,0.05946,5.54189,7.4
236,closed,3,1123.0,100,1.70292,0.06946,5.65494,11.23
236,virtual,1,200.0,50,1.79988,0.1,5.3125,4.0
236,virtual,2,347.0,50,1.65774,0.05187,5.61912,6.94
236,virtual,3,520.0,50,1.73102,0.08077,5.69744,10.4
238,closed,1,400.0,100,1.75951,0.09,5.31125,4.0
238,closed,2,738.0,100,1.67997,0.06098,5.53749,7.38
238,closed,3,1130.0,100,1.71179,0.07434,5.65,11.3
238,virtual,1,200.0,50,1.7737,0.09,5.20667,4.0
238,virtual,2,362.0,50,1.74974,0.0884,5.55985,7.24
238,virtual,3,512.0,50,1.79505,0.10547,5.70247,10.24
240,closed,1,400.0,100,1.70135,0.07,5.31583,4.0
240,closed,2,737.0,100,1.7178,0.07327,5.5701,7.37
240,closed,3,1127.0,100,1.73159,0.07986,5.64789,11.27
240,virtual,1,200.0,50,1.72302,0.075,5.3425,4.0
