sweep,kind,shell,n_cells,n_anchors,mean_E,coll,mean_q,shell_n
230,closed,2,735.0,100,1.74853,0.08571,5.62744,7.35
230,closed,3,1137.0,100,1.73867,0.08091,5.69408,11.37
230,virtual,1,200.0,50,1.69714,0.075,5.31,4.0
230,virtual,2,366.0,50,1.78025,0.10109,5.51366,7.32
230,virtual,3,534.0,50,1.69744,0.06742,5.61049,10.68
232,closed,1,400.0,100,1.71911,0.0725,5.38542,4.0
232,closed,2,736.0,100,1.73718,0.08152,5.6216,7.36
232,closed,3,1124.0,100,1.76989,0.09253,5.6984,11.24
232,virtual,1,200.0,50,1.75438,0.09,5.06,4.0
232,virtual,2,339.0,50,1.68594,0.06195,5.50344,6.78
232,virtual,3,474.0,50,1.69186,0.0654,5.74051,9.48
234,closed,1,400.0,100,1.69719,0.0675,5.38625,4.0
234,closed,2,734.0,100,1.71074,0.07357,5.61853,7.34
234,closed,3,1122.0,100,1.73705,0.08021,5.71673,11.22
234,virtual,1,200.0,50,1.77147,0.095,5.34083,4.0
234,virtual,2,373.0,50,1.74897,0.08043,5.47364,7.46
234,virtual,3,549.0,50,1.69201,0.0674,5.61445,10.98
236,closed,1,400.0,100,1.66601,0.055,5.37625,4.0
236,closed,2,735.0,100,1.68922,0.06803,5.60794,7.35
236,closed,3,1128.0,100,1.73451,0.08156,5.69962,11.28
236,virtual,1,200.0,50,1.75103,0.08,5.36,4.0
236,virtual,2,382.0,50,1.80345,0.10733,5.58028,7.64
236,virtual,3,579.0,50,1.67015,0.06045,5.69948,11.58
238,closed,1,400.0,100,1.7918,0.1,5.38,4.0
238,closed,2,729.0,100,1.75183,0.08779,5.61545,7.29
238,closed,3,1128.0,100,1.71348,0.07447,5.70508,11.28
238,virtual,1,200.0,50,1.75946,0.09,5.2325,4.0
238,virtual,2,349.0,50,1.72804,0.08023,5.51337,6.98
238,virtual,3,546.0,50,1.68606,0.05678,5.66422,10.92
240,closed,1,400.0,100,1.70021,0.07,5.38875,4.0
240,closed,2,731.0,100,1.73467,0.07934,5.62061,7.31
240,closed,3,1148.0,100,1.70811,0.07143,5.68423,11.48
240,virtual,1,200.0,50,1.63986,0.05,5.3175,4.0
240,virtual,2,359.0,50,1.74459,0.08357,5.56871,7.18
240,virtual,3,541.0,50,1.67542,0.061,5.67344,10.82
242,closed,1,400.0,100,1.76752,0.09,5.37292,4.0
242,closed,2,727.0,100,1.68629,0.06465,5.61807,7.27
242,closed,3,1144.0,100,1.72874,0.08042,5.66521,11.44
242,virtual,1,200.0,50,1.7271,0.075,5.25917,4.0
242,virtual,2,372.0,50,1.73467,0.08333,5.50762,7.44
242,virtual,3,541.0,50,1.67174,0.05915,5.69532,10.82
244,closed,1,400.0,100,1.71104,0.0725,5.3675,4.0
244,closed,2,728.0,100,1.73038,0.07967,5.61836,7.28
244,closed,3,1139.0,100,1.75689,0.0878,5.68774,11.39
244,virtual,1,200.0,50,1.68927,0.06,5.33417,4.0
244,virtual,2,361.0,50,1.70967,0.07479,5.5337,7.22
244,virtual,3,506.0,50,1.70898,0.06917,5.68906,10.12
246,closed,1,400.0,100,1.68648,0.0675,5.36125,4.0
246,closed,2,729.0,100,1.76487,0.09053,5.62483,7.29
246,closed,3,1129.0,100,1.71259,0.0744,5.67789,11.29
246,virtual,1,200.0,50,1.80791,0.11,5.14833,4.0
246,virtual,2,350.0,50,1.80836,0.10857,5.42905,7.0
246,virtual,3,480.0,50,1.80774,0.10625,5.59097,9.6
248,closed,1,400.0,100,1.7065,0.075,5.36833,4.0
248,closed,2,734.0,100,1.69789,0.06812,5.60309,7.34
248,closed,3,1126.0,100,1.74469,0.08526,5.68369,11.26
248,virtual,1,200.0,50,1.73802,0.08,5.17333,4.0
248,virtual,2,378.0,50,1.66663,0.0582,5.44356,7.56
248,virtual,3,538.0,50,1.74678,0.0855,5.63228,10.76
250,closed,1,400.0,100,1.69624,0.065,5.36667,4.0
250,closed,2,737.0,100,1.69936,0.06784,5.61013,7.37
250,closed,3,1131.0,100,1.7442,0.08488,5.69319,11.31
250,virtual,1,200.0,50,1.67215,0.06,5.28,4.0
